CFSE-A,sulfo-Cyanine5-A,replicate,sampleNum,cond
758,68,0,0,CFSE_NaAz
4386,3,1,0,CFSE_NaAz
5166,87,0,0,CFSE_NaAz
1342,37,0,0,CFSE_NaAz
4577,143,0,0,CFSE_NaAz
1089,28,1,0,CFSE_NaAz
2333,28,1,0,CFSE_NaAz
3346,24,0,0,CFSE_NaAz
3548,7,1,0,CFSE_NaAz
3511,46,1,0,CFSE_NaAz
5707,60,0,0,CFSE_NaAz
2017,99,0,0,CFSE_NaAz
874,63,0,0,CFSE_NaAz
6133,11,0,0,CFSE_NaAz
1317,63,0,0,CFSE_NaAz
29788,105,0,0,CFSE_NaAz
589,33,0,0,CFSE_NaAz
6007,141,0,0,CFSE_NaAz
7142,20,0,0,CFSE_NaAz
5628,84,0,0,CFSE_NaAz
2457,110,0,0,CFSE_NaAz
1771,125,0,0,CFSE_NaAz
1258,82,0,0,CFSE_NaAz
755,87,0,0,CFSE_NaAz
13514,50,0,0,CFSE_NaAz
1083,7,0,0,CFSE_NaAz
1794,44,0,0,CFSE_NaAz
2223,34,0,0,CFSE_NaAz
1395,20,0,0,CFSE_NaAz
45505,17,0,0,CFSE_NaAz
3140,95,0,0,CFSE_NaAz
819,43,1,0,CFSE_NaAz
9708,24,0,0,CFSE_NaAz
13176,44,1,0,CFSE_NaAz
1808,24,1,0,CFSE_NaAz
6942,58,0,0,CFSE_NaAz
1801,36,0,0,CFSE_NaAz
7166,74,0,0,CFSE_NaAz
3854,23,0,0,CFSE_NaAz
1837,68,1,0,CFSE_NaAz
1646,149,0,0,CFSE_NaAz
3513,19,0,0,CFSE_NaAz
5864,84,0,0,CFSE_NaAz
1744,92,0,0,CFSE_NaAz
4275,15,0,0,CFSE_NaAz
2251,34,0,0,CFSE_NaAz
742,12,0,0,CFSE_NaAz
5729,99,0,0,CFSE_NaAz
2258,44,0,0,CFSE_NaAz
2983,22,0,0,CFSE_NaAz
8712,62,1,0,CFSE_NaAz
2797,81,0,0,CFSE_NaAz
1927,67,0,0,CFSE_NaAz
1388,48,0,0,CFSE_NaAz
7389,83,0,0,CFSE_NaAz
1432,28,0,0,CFSE_NaAz
3050,43,0,0,CFSE_NaAz
8397,32,0,0,CFSE_NaAz
309,68,0,0,CFSE_NaAz
7347,3,0,0,CFSE_NaAz
1841,16,0,0,CFSE_NaAz
5387,79,0,0,CFSE_NaAz
4384,134,1,0,CFSE_NaAz
328,12,1,0,CFSE_NaAz
1089,126,1,0,CFSE_NaAz
5793,52,1,0,CFSE_NaAz
2642,74,0,0,CFSE_NaAz
1603,17,1,0,CFSE_NaAz
8496,39,1,0,CFSE_NaAz
2791,6,0,0,CFSE_NaAz
1639,18,0,0,CFSE_NaAz
4519,14,0,0,CFSE_NaAz
3919,86,0,0,CFSE_NaAz
11675,27,0,0,CFSE_NaAz
3830,15,0,0,CFSE_NaAz
981,39,1,0,CFSE_NaAz
6695,31,1,0,CFSE_NaAz
4007,102,0,0,CFSE_NaAz
9204,96,0,0,CFSE_NaAz
10295,45,0,0,CFSE_NaAz
12092,36,0,0,CFSE_NaAz
1877,145,0,0,CFSE_NaAz
2787,16,0,0,CFSE_NaAz
3360,126,0,0,CFSE_NaAz
2976,74,0,0,CFSE_NaAz
3980,121,1,0,CFSE_NaAz
1754,5,0,0,CFSE_NaAz
1313,9,1,0,CFSE_NaAz
1394,10,1,0,CFSE_NaAz
1709,144,0,0,CFSE_NaAz
3105,8,0,0,CFSE_NaAz
5436,53,0,0,CFSE_NaAz
195,25,0,0,CFSE_NaAz
15151,176,0,0,CFSE_NaAz
1212,65,0,0,CFSE_NaAz
5329,84,0,0,CFSE_NaAz
971,165,0,0,CFSE_NaAz
435,23,1,0,CFSE_NaAz
2488,38,0,0,CFSE_NaAz
8136,31,0,0,CFSE_NaAz
3653,110,0,0,CFSE_NaAz
849,77,0,0,CFSE_NaAz
5105,100,1,0,CFSE_NaAz
2786,11,0,0,CFSE_NaAz
7029,174,1,0,CFSE_NaAz
4916,31,0,0,CFSE_NaAz
1909,25,0,0,CFSE_NaAz
1310,75,0,0,CFSE_NaAz
4462,64,0,0,CFSE_NaAz
2388,103,0,0,CFSE_NaAz
5906,25,0,0,CFSE_NaAz
7512,114,1,0,CFSE_NaAz
1504,67,0,0,CFSE_NaAz
1544,43,1,0,CFSE_NaAz
1557,62,0,0,CFSE_NaAz
3932,22,0,0,CFSE_NaAz
1055,141,0,0,CFSE_NaAz
28290,110,0,0,CFSE_NaAz
222,6,0,0,CFSE_NaAz
1324,145,0,0,CFSE_NaAz
7904,29,0,0,CFSE_NaAz
5028,28,0,0,CFSE_NaAz
