CFSE-A,sulfo-Cyanine5-A,replicate,sampleNum,cond,CFSE_cat,EU_cat
11746,4368,1,3,Ctrl,non-CFSE-low,EU-high
24451,5717,1,1,Ctrl,non-CFSE-low,EU-high
2011,3046,0,3,Ctrl,non-CFSE-low,EU-high
1366,2621,1,2,Ctrl,non-CFSE-low,EU-high
10233,5281,1,3,Ctrl,non-CFSE-low,EU-high
1432,3235,0,3,Ctrl,non-CFSE-low,EU-high
627,2251,0,1,Ctrl,CFSE-low,EU-high
1061,5185,1,2,Ctrl,CFSE-low,EU-high
634,1347,0,3,Ctrl,CFSE-low,EU-high
1233,1491,1,3,Ctrl,non-CFSE-low,EU-high
2652,1921,0,1,Ctrl,non-CFSE-low,EU-high
1581,613,1,3,Ctrl,non-CFSE-low,EU-low
848,34,1,3,Ctrl,CFSE-low,EU-low
4457,3449,1,1,Ctrl,non-CFSE-low,EU-high
21164,8165,1,3,Ctrl,non-CFSE-low,EU-high
1028,2643,0,2,Ctrl,CFSE-low,EU-high
1082,2613,0,1,Ctrl,CFSE-low,EU-high
1566,60,0,3,Ctrl,non-CFSE-low,EU-low
1557,291,1,3,Ctrl,non-CFSE-low,EU-low
13874,5009,0,2,Ctrl,non-CFSE-low,EU-high
5399,421,0,2,Ctrl,non-CFSE-low,EU-low
10467,2667,0,3,Ctrl,non-CFSE-low,EU-high
51940,4408,1,3,Ctrl,non-CFSE-low,EU-high
6816,6860,0,1,Ctrl,non-CFSE-low,EU-high
11926,5182,0,3,Ctrl,non-CFSE-low,EU-high
22160,8917,0,2,Ctrl,non-CFSE-low,EU-high
2146,1469,1,2,Ctrl,non-CFSE-low,EU-high
376,1809,0,1,Ctrl,CFSE-low,EU-high
10829,3714,0,3,Ctrl,non-CFSE-low,EU-high
1549,3285,0,2,Ctrl,non-CFSE-low,EU-high
18196,3693,0,1,Ctrl,non-CFSE-low,EU-high
1839,552,1,2,Ctrl,non-CFSE-low,EU-low
3557,4415,0,2,Ctrl,non-CFSE-low,EU-high
4819,4642,0,1,Ctrl,non-CFSE-low,EU-high
1363,1875,1,3,Ctrl,non-CFSE-low,EU-high
5852,2447,1,3,Ctrl,non-CFSE-low,EU-high
20774,7823,0,3,Ctrl,non-CFSE-low,EU-high
3628,2068,1,3,Ctrl,non-CFSE-low,EU-high
13036,424,1,3,Ctrl,non-CFSE-low,EU-low
1480,186,1,3,Ctrl,non-CFSE-low,EU-low
675,1603,1,3,Ctrl,CFSE-low,EU-high
1644,1007,0,3,Ctrl,non-CFSE-low,EU-low
25673,7342,0,3,Ctrl,non-CFSE-low,EU-high
269,1317,0,1,Ctrl,CFSE-low,EU-high
568,205,0,3,Ctrl,CFSE-low,EU-low
3089,2866,1,3,Ctrl,non-CFSE-low,EU-high
645,3326,0,2,Ctrl,CFSE-low,EU-high
2617,772,1,1,Ctrl,non-CFSE-low,EU-low
5606,5370,0,3,Ctrl,non-CFSE-low,EU-high
994,2174,1,2,Ctrl,CFSE-low,EU-high
1416,1986,0,1,Ctrl,non-CFSE-low,EU-high
6931,2829,0,2,Ctrl,non-CFSE-low,EU-high
982,3372,1,2,Ctrl,CFSE-low,EU-high
2186,2412,0,3,Ctrl,non-CFSE-low,EU-high
1727,3073,1,2,Ctrl,non-CFSE-low,EU-high
13345,2609,1,1,Ctrl,non-CFSE-low,EU-high
12917,5377,0,2,Ctrl,non-CFSE-low,EU-high
3245,5739,0,1,Ctrl,non-CFSE-low,EU-high
1512,1690,0,2,Ctrl,non-CFSE-low,EU-high
15716,7472,1,3,Ctrl,non-CFSE-low,EU-high
2356,3458,0,3,Ctrl,non-CFSE-low,EU-high
3924,2901,1,2,Ctrl,non-CFSE-low,EU-high
1636,1405,1,3,Ctrl,non-CFSE-low,EU-high
348,1377,0,3,Ctrl,CFSE-low,EU-high
991,3584,0,1,Ctrl,CFSE-low,EU-high
1327,4606,0,3,Ctrl,non-CFSE-low,EU-high
370,4186,0,1,Ctrl,CFSE-low,EU-high
1219,3864,1,3,Ctrl,non-CFSE-low,EU-high
3545,112,0,2,Ctrl,non-CFSE-low,EU-low
21140,1503,1,3,Ctrl,non-CFSE-low,EU-high
2601,2530,1,1,Ctrl,non-CFSE-low,EU-high
35012,15215,1,2,Ctrl,non-CFSE-low,EU-high
2025,793,1,3,Ctrl,non-CFSE-low,EU-low
2084,2733,0,3,Ctrl,non-CFSE-low,EU-high
8457,7952,0,3,Ctrl,non-CFSE-low,EU-high
8581,6239,1,1,Ctrl,non-CFSE-low,EU-high
144,50,0,3,Ctrl,CFSE-low,EU-low
266,1350,0,3,Ctrl,CFSE-low,EU-high
1580,1254,1,3,Ctrl,non-CFSE-low,EU-low
1963,1755,1,3,Ctrl,non-CFSE-low,EU-high
6620,1639,0,3,Ctrl,non-CFSE-low,EU-high
742,1812,0,2,Ctrl,CFSE-low,EU-high
3513,3842,0,3,Ctrl,non-CFSE-low,EU-high
11011,2261,1,1,Ctrl,non-CFSE-low,EU-high
2151,108,1,1,Ctrl,non-CFSE-low,EU-low
12650,7198,1,3,Ctrl,non-CFSE-low,EU-high
8356,2053,1,3,Ctrl,non-CFSE-low,EU-high
3897,2678,1,2,Ctrl,non-CFSE-low,EU-high
943,1651,0,3,Ctrl,CFSE-low,EU-high
7156,2230,1,3,Ctrl,non-CFSE-low,EU-high
1114,2020,0,2,Ctrl,non-CFSE-low,EU-high
5456,4585,1,1,Ctrl,non-CFSE-low,EU-high
2254,926,1,2,Ctrl,non-CFSE-low,EU-low
11554,2580,0,3,Ctrl,non-CFSE-low,EU-high
790,6481,0,3,Ctrl,CFSE-low,EU-high
792,2977,1,2,Ctrl,CFSE-low,EU-high
693,1004,0,2,Ctrl,CFSE-low,EU-low
4605,1916,1,3,Ctrl,non-CFSE-low,EU-high
10387,6656,0,2,Ctrl,non-CFSE-low,EU-high
1722,3314,0,3,Ctrl,non-CFSE-low,EU-high
16683,2610,1,3,Ctrl,non-CFSE-low,EU-high
2279,2117,0,3,Ctrl,non-CFSE-low,EU-high
18043,6601,1,3,Ctrl,non-CFSE-low,EU-high
1700,80,1,3,Ctrl,non-CFSE-low,EU-low
1423,1347,0,3,Ctrl,non-CFSE-low,EU-high
598,3294,1,2,Ctrl,CFSE-low,EU-high
3531,3739,1,1,Ctrl,non-CFSE-low,EU-high
14118,5155,0,1,Ctrl,non-CFSE-low,EU-high
2569,2035,0,2,Ctrl,non-CFSE-low,EU-high
4338,2887,1,3,Ctrl,non-CFSE-low,EU-high
1124,1352,0,1,Ctrl,non-CFSE-low,EU-high
15154,8561,0,3,Ctrl,non-CFSE-low,EU-high
