mGL-A,mGL-H,cond,replicate,sampleNum
28,52,Neg,1,1
95,61,Neg,1,1
42,52,Neg,1,1
30,43,Neg,0,1
33,88,Neg,0,1
15,52,Neg,1,1
143,101,Neg,0,1
103,68,Neg,1,1
21,98,Neg,0,1
11,85,Neg,0,1
99,84,Neg,1,1
144,84,Neg,1,1
30,64,Neg,0,1
17,102,Neg,1,1
151,75,Neg,1,1
10,41,Neg,2,1
8,79,Neg,0,1
50,74,Neg,2,1
49,71,Neg,0,1
193,110,Neg,1,1
141,102,Neg,1,1
138,100,Neg,2,1
41,48,Neg,1,1
53,60,Neg,2,1
14,93,Neg,0,1
49,45,Neg,1,1
74,80,Neg,0,1
117,60,Neg,0,1
37,64,Neg,1,1
35,53,Neg,0,1
59,104,Neg,0,1
28,56,Neg,2,1
127,74,Neg,0,1
5,43,Neg,1,1
38,67,Neg,0,1
20,65,Neg,0,1
87,84,Neg,0,1
48,46,Neg,0,1
90,82,Neg,0,1
110,98,Neg,0,1
30,73,Neg,0,1
123,75,Neg,0,1
42,51,Neg,0,1
124,68,Neg,1,1
57,85,Neg,0,1
66,85,Neg,1,1
37,97,Neg,1,1
50,65,Neg,0,1
144,118,Neg,1,1
25,99,Neg,1,1
194,84,Neg,2,1
28,55,Neg,2,1
68,82,Neg,2,1
14,68,Neg,1,1
24,101,Neg,0,1
31,80,Neg,1,1
8,64,Neg,1,1
89,60,Neg,1,1
140,54,Neg,2,1
81,92,Neg,1,1
78,85,Neg,0,1
21,51,Neg,0,1
84,103,Neg,0,1
5,45,Neg,1,1
56,62,Neg,2,1
27,49,Neg,2,1
23,74,Neg,1,1
23,69,Neg,1,1
32,43,Neg,1,1
85,84,Neg,0,1
183,82,Neg,1,1
33,70,Neg,0,1
49,52,Neg,2,1
64,68,Neg,0,1
37,72,Neg,0,1
74,76,Neg,1,1
114,139,Neg,0,1
113,91,Neg,1,1
59,51,Neg,0,1
123,97,Neg,0,1
71,65,Neg,0,1
31,76,Neg,1,1
5,49,Neg,2,1
91,89,Neg,1,1
67,85,Neg,0,1
63,84,Neg,1,1
28,76,Neg,1,1
41,64,Neg,0,1
1,71,Neg,0,1
35,74,Neg,0,1
39,67,Neg,2,1
63,69,Neg,0,1
2,100,Neg,2,1
60,58,Neg,0,1
4,61,Neg,1,1
103,87,Neg,0,1
143,68,Neg,2,1
55,51,Neg,0,1
177,93,Neg,1,1
19,44,Neg,1,1
27,58,Neg,1,1
46,55,Neg,0,1
10,55,Neg,2,1
10,66,Neg,0,1
36,60,Neg,0,1
165,88,Neg,1,1
186,109,Neg,0,1
13,46,Neg,0,1
165,65,Neg,0,1
70,59,Neg,1,1
149,98,Neg,1,1
200,114,Neg,1,1
67,74,Neg,2,1
120,64,Neg,0,1
125,67,Neg,0,1
4,49,Neg,0,1
149,69,Neg,1,1
39,56,Neg,0,1
180,115,Neg,2,1
121,57,Neg,0,1
27,129,Neg,2,1
149,108,Neg,0,1
36,41,Neg,1,1
36,66,Neg,2,1
102,68,Neg,0,1
136,82,Neg,1,1
113,62,Neg,0,1
54,81,Neg,2,1
9,51,Neg,0,1
84,75,Neg,0,1
171,77,Neg,2,1
88,74,Neg,0,1
32,55,Neg,1,1
41,80,Neg,1,1
104,80,Neg,0,1
25,58,Neg,0,1
28,56,Neg,0,1
126,79,Neg,0,1
18,72,Neg,1,1
156,83,Neg,1,1
87,57,Neg,2,1
141,61,Neg,0,1
37,46,Neg,2,1
21,80,Neg,2,1
82,63,Neg,0,1
30,117,Neg,2,1
97,79,Neg,0,1
14,64,Neg,1,1
107,70,Neg,1,1
21,44,Neg,1,1
14,45,Neg,1,1
77,100,Neg,1,1
60,101,Neg,2,1
69,82,Neg,0,1
117,78,Neg,0,1
135,100,Neg,2,1
22,58,Neg,0,1
105,83,Neg,1,1
16,93,Neg,2,1
180,103,Neg,0,1
5,66,Neg,1,1
195,130,Neg,0,1
78,69,Neg,0,1
74,60,Neg,0,1
22,52,Neg,1,1
188,120,Neg,0,1
47,91,Neg,0,1
31,44,Neg,0,1
1,118,Neg,1,1
50,91,Neg,0,1
37,48,Neg,0,1
